GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
CFI	TF	0.158567095574271	protein-protein	0.158567095574271
PROC	SERPINA3	-0.270813956354272	protein-protein	0.270813956354272
CFI	APOL1	-0.138490315149932	protein-protein	0.138490315149932
ELANE	HBB	0.222342361684843	protein-protein	0.222342361684843
SERPINE1	PROC	-0.253381097992513	protein-protein	0.253381097992513
SERPINA3	A1BG	0.4381537477561	protein-protein	0.4381537477561
SERPINA3	SAA1	0.62545527632787	protein-protein	0.62545527632787
ANG	A1BG	-0.349206546748611	protein-protein	0.349206546748611
ANG	SERPINA3	-0.205573532220204	protein-protein	0.205573532220204
PROC	TF	0.164754906326549	protein-protein	0.164754906326549
PROC	ANG	0.275558128027909	protein-protein	0.275558128027909
SERPINA3	SAA1	0.62545527632787	protein-protein	0.62545527632787
ANG	TF	-0.210546639446851	protein-protein	0.210546639446851
CFI	TF	0.158567095574271	protein-protein	0.158567095574271
CFI	SERPINA3	0.434723551065382	protein-protein	0.434723551065382
ICAM1	SERPINE1	0.100368044508104	protein-protein	0.100368044508104
MBL2	TF	-0.123152959239451	protein-protein	0.123152959239451
ANG	SERPINA3	-0.205573532220204	protein-protein	0.205573532220204
PROC	MBL2	0.449095271707864	protein-protein	0.449095271707864
SERPINE1	SERPINA3	0.255048387779014	protein-protein	0.255048387779014
SERPINE1	PROC	-0.253381097992513	protein-protein	0.253381097992513
SERPINA3	APOL1	-0.218492764128062	protein-protein	0.218492764128062
HBB	SAA1	-0.233075364493613	protein-protein	0.233075364493613
ANG	SERPINA3	-0.205573532220204	protein-protein	0.205573532220204
PROC	SERPINA3	-0.270813956354272	protein-protein	0.270813956354272
PROC	MBL2	0.449095271707864	protein-protein	0.449095271707864
PROC	ANG	0.275558128027909	protein-protein	0.275558128027909
SERPINE1	PROC	-0.253381097992513	protein-protein	0.253381097992513
MBL2	TF	-0.123152959239451	protein-protein	0.123152959239451
ELANE	HBB	0.222342361684843	protein-protein	0.222342361684843
PROC	MBL2	0.449095271707864	protein-protein	0.449095271707864
SERPINE1	SAA1	0.205698712163883	protein-protein	0.205698712163883
SERPINA3	TF	-0.176427219478686	protein-protein	0.176427219478686
PROC	MBL2	0.449095271707864	protein-protein	0.449095271707864
SERPINE1	ELANE	-0.188124603256513	protein-protein	0.188124603256513
SERPINE1	ELANE	-0.188124603256513	protein-protein	0.188124603256513
SERPINE1	ELANE	-0.188124603256513	protein-protein	0.188124603256513
PROC	ELANE	0.133825910161914	protein-protein	0.133825910161914
SERPINE1	SERPINA3	0.255048387779014	protein-protein	0.255048387779014
CAMP	ITGA2B	-0.197581662014132	protein-protein	0.197581662014132
MRC1	SELENOP	0.328113399480674	protein-protein	0.328113399480674
S100A8	SERPINA1	0.511491896952147	protein-protein	0.511491896952147
S100A9	SERPINA1	0.613224292757627	protein-protein	0.613224292757627
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
ITGB3	ITGA2B	0.920595291120542	protein-protein	0.920595291120542
CAMP	ITGA2B	-0.197581662014132	protein-protein	0.197581662014132
SELENOP	CD163	-0.152698306544203	protein-protein	0.152698306544203
MRC1	SELENOP	0.328113399480674	protein-protein	0.328113399480674
S100A8	CAMP	-0.141941107728289	protein-protein	0.141941107728289
S100A9	HP	0.19292337772832	protein-protein	0.19292337772832
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
PRG4	PON1	0.44729591611374	protein-protein	0.44729591611374
CA2	SERPINA1	0.263611264557575	protein-protein	0.263611264557575
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
MRC1	BCHE	0.133947385526683	protein-protein	0.133947385526683
GC	PON1	0.214836738472789	protein-protein	0.214836738472789
S100A8	SERPINA1	0.511491896952147	protein-protein	0.511491896952147
S100A9	SERPINA1	0.613224292757627	protein-protein	0.613224292757627
